category	us	es	meaning	literal
Proverbs	A bird in the hand is worth two in the bush	Más vale pájaro en mano que ciento volando.		
Proverbs	A friend in need is a friend indeed.	En la necesidad se conoce al amigo.	 Un amigo en necesidad es un amigo de verdad.	
Proverbs	A leopard can't change his spots.	Uno no puede cambiar lo que es		 My dad orders a burger at every restaurant; ALCCHS.
Proverbs	A picture is worth a thousand words.	Un gesto vale más que mil palabras		
Proverbs	A stitch in time saves nine.	Mejor prevenir que lamentar		Una puntada a tiempo ahorra 9; reparaciones a buena hora ahorran trabajo
Proverbs	Actions speak louder than words.	Los hechos dicen más que las palabras.		
Proverbs	An apple a day keeps the doctor away	Más vale prevenir que lamentar	 Una manzana al día tiene al médico lejos.	
Proverbs	Beauty is only skin deep.	Las apariencias engañan.	 La belleza solamente es superficial.	
Proverbs	Better safe than sorry	Más vale prevenir que lamentar	 Mejor seguro que arrepentido	 Let's get the insurance; better safe...
Proverbs	Better the devil you know... (than the one you don't).	Mejor malo conocido que bueno por conocer		
Proverbs	Blood is thicker than water	Vínculo familiar es más fuerte que cualquier otro		 I can always count on my family; BITTW.
Proverbs	Curiosity killed the cat	Si estás demasiado inquisitivo, puedes tener problemas		Don't ask too many questions; CKTC.
Proverbs	Different strokes for different folks	En gustos y colores …		La gente tiene diferentes gustos / cada uno hace algo a su manera.
Proverbs	Don't put all your eggs in one basket	No pongas todas las cartas sobre la mesa. No pongas todos los huevos en una misma canasta.		
Proverbs	Don't put off until tomorrow what you can do today	No dejes para mañana lo que puedes hacer hoy (ej. ¡Estudiar Inglés!)		
Proverbs	Don't judge a book by its cover	No juzgue por la aparencia		He doesn't look that smart, but don't judge a book by its cover.
Proverbs	Every cloud has a silver lining.	No hay mal que por bien no venga.	 Cada nube tiene un forro de plata.	
Proverbs	First come, first served.	Por orden de llegada		 Who wants these tickets? First come, first served.
Proverbs	Give them an inch, and they will take a mile.	Dales la mano y se cogerán el codo	 Dales una pulgada y se tomarán una milla.	
Proverbs	Good night, sleep tight, don't let the bedbugs bite	Dicho común: una buena noche, que duermas bien y, no permitas que te muerdan los chinches.		
Proverbs	Hindsight is twenty-twenty.	En retrospectiva es fácil saber lo que uno debía haber hecho.	 La vista en retrospectiva es 20/20.	
Proverbs	It takes two to tango	Se necesitan dos para bailar tango		 She blames him, but it takes two...
Proverbs	No pain, no gain	Todo se consigue con esfuerzo. Sin sufrimiento no hay ganancia.		 His motto at the gym was: NPNG.
Proverbs	Old habits die hard	Es difícil cambiar las costumbres		I can't stop biting my nails. Old habits die hard.
Proverbs	Once bitten, twice shy.		 Una vez mordido, segunda vez tímido	El gato escaldado de agua fría huye.
Proverbs	Out of sight, out of mind	Ojos que no ven, corazón que no siente.		
Proverbs	Nobody can do everything, but everyone can do something	Nadie puede hacerlo todo, pero tod.os podemos hacer algo		
Proverbs	People who live in glass houses shouldn't throw stones.	No se debe criticar a los otros, porque uno también es vulnerable.		"No se debe tirar piedras a tu propio tejado"
Proverbs	Practice makes perfect	La práctica hace la perfección		
Proverbs	The early bird catches the worm.	A quien madruga, Dios le ayuda.	 El pájaro que sale temprano coge el gusano.	
Proverbs	The first step is always the hardest	El primer paso siempre es el más difícil		
Proverbs	There are plenty of other fish in the sea.	Hay muchos otros/as con los cuales uno puede salir / Hay muchas opciones para escoger	 Hay otros peces en el mar	
Proverbs	Two heads are better than one	Trabajando juntos logramos más	 Dos cabezas son mejor que una	
Proverbs	Two wrongs don't make a right	Dos males un bien no hacen.		Una equivocación no se remedia con otra.
Proverbs	Variety is the spice of life	En la variedad está el gusto	 La variedad es la especia de la vida	
Proverbs	Waste not, want not	Si no malgastas, las cosas no te harán falta		Dicho esp. cuando estas comiendo el último pedazo de algo.
Proverbs	Where there's a will, there's a way.	Cuando se quiere se puede	 Donde hay la voluntad, se encuentra manera.	
